year,pick,player_name,original_club,extracted_school,school_type,grade,games,goals
2016,50,Kayle Kirby,Tyntynder / Bendigo U18 / Richmond (VFL),,unknown,D,1,0
2016,51,Elliot Himmelberg,Mount Gravatt / Redland / Queensland U18,,unknown,B,50,49
2016,52,Willie Rioli,South Fremantle / Tiwi Bombers / NT Thunder / Glenelg,,unknown,B,109,151
2016,53,Jack Graham,Tea Tree Gully / North Adelaide,,unknown,B,154,55
2016,54,Lachie Tiziani,Albury FC / Murray U18 / Greater Western Sydney (NEAFL) / Western Sydney University,,unknown,D,0,0
2016,55,Jacob Allison,Padua College (Qld) / Aspley / Queensland U18 / Brisbane (NEAFL),Padua College (Qld),GPS_QLD,C,10,2
2016,56,Ed Phillips,Beverley Hills / Caulfield Grammar / Oakleigh U18,Caulfield Grammar,APS,C,15,4
2016,57,Josh Daicos,Camberwell Grammar / Bulleen-Templestowe / Oakleigh U18,Camberwell Grammar,unknown,A,164,68
2016,58,Matt de Boer,Swanbourne JFC / Claremont,,unknown,B,85,35
2016,59,Cameron Polson,Haileybury College / Sandringham U18,Haileybury College,APS,C,19,4
2016,60,Quinton Narkle,Wesley College (WA) / Perth,Wesley College (WA),GPS_WA,B,59,27
2016,61,Tom Williamson,Ararat / North Ballarat U18,,unknown,C,44,4
2016,62,Matt Signorello,South Morang JFC / South Morang / Ivanhoe Grammar / Northern U18,Ivanhoe Grammar,other_private,D,0,0
2016,63,Dylan Clarke,Rowville / Knox / Melbourne Grammar / Eastern U18,Melbourne Grammar,APS,C+,24,6
2016,64,Dion Johnstone,North Warrnambool / Scotch College / Oakleigh U18,Scotch College,APS,D,0,0
2016,65,Patrick Kerr,St Kevin's College / Glen Iris / Oakleigh U18,St Kevin's College,APS,D,4,2
2016,66,Luke Ryan,Moonee Valley / Calder U18 / Maribyrnong Park / Coburg,,unknown,A,191,3
2016,67,Brad Scheer,Gibson / Palm Beach Currumbin / Queensland U18 / Gold Coast (NEAFL),,unknown,C,13,2
2016,68,Timm House,Gnowangerup / Claremont / Newtown & Chilwell / Geelong (VFL),,unknown,D,0,0
2016,69,Ryan Abbott,Grovedale / Geelong (VFL),,unknown,D,6,5
2016,70,Fergus Greene,Sandhurst / Bendigo U18 / Williamstown,,unknown,C,16,20
2016,71,Corey Lyons,St Peters / De La Salle College / Sandringham U18,De La Salle College,other_private,D,0,0
2016,72,Ryan Garthwaite,Corowa-Rutherglen / Murray U18 / Western Sydney University,,unknown,C,14,0
2016,73,Nick Larkey,Hawthorn Citizens / Trinity Grammar / Oakleigh U18,Trinity Grammar,APS,A,147,308
2016,74,Harry Morrison,Benalla / Murray U18,,unknown,C+,126,31
2016,75,Ben Davis,UNSW-Eastern Suburbs / NSW-ACT U18 / Sydney (NEAFL),,unknown,D,11,1
2016,76,Mitch Lewis,Wallan / Whittlesea / Calder U18,,unknown,B,91,153
2016,77,Jake Waterman,Marist JFC / Newman College / Claremont,Newman College,unknown,A,126,180
2017,1,Cam Rayner,Hillside / Doutta Stars / PEGS / Western U18,,unknown,B+,181,185
2017,2,Andrew Brayshaw,Hampton Rovers / Haileybury College / Sandringham U18,Haileybury College,APS,A,183,61
2017,3,Paddy Dow,Swan Hill / Bendigo U18,,unknown,C+,83,24
2017,4,Luke Davies-Uniacke,Rye / Haileybury College / Dandenong U18,Haileybury College,APS,A,143,52
2017,5,Adam Cerra,Wesley College / Norwood (Vic) / Eastern U18,Wesley College,APS,B+,158,41
2017,6,Jaidyn Stephenson,Ferntree Gully / Eastern U18,,unknown,B,122,130
2017,7,Hunter Clark,Mount Martha / Padua College / Dandenong U18,Padua College,GPS_QLD,C+,114,14
2017,8,Nick Coffield,Eltham / Whitefriars College / Northern U18,Whitefriars College,other_private,B,71,2
2017,9,Aaron Naughton,Rockingham / Peel,,unknown,B+,180,318
2017,10,Lochie O'Brien,South Mildura / Bendigo U18,,unknown,C,66,16
2017,11,Aiden Bonar,Seaford / Haileybury College / Dandenong U18,Haileybury College,APS,C,34,5
2017,12,Darcy Fogarty,Lucindale / Rostrevor College / Glenelg,Rostrevor College,GPS_SA,B,133,207
2017,13,Jarrod Brander,Wentworth / Bendigo U18 / Western Sydney University,,unknown,C,27,9
2017,14,Matt Ling,St Mary's (GFL) / Geelong U18,,unknown,D,4,0
2017,15,Zac Bailey,Southern Districts / Norwood,,unknown,A,179,203
2017,16,Ed Richards,Hawthorn Citizens / Carey Grammar / Oakleigh U18,Carey Grammar,APS,A,161,69
2017,17,Jack Higgins,East Malvern / Caulfield Grammar / Oakleigh U18,Caulfield Grammar,APS,B,153,221
2017,18,Brandon Starcevich,Trinity College (WA) / East Perth,Trinity College (WA),GPS_WA,B,134,8
2017,19,Wil Powell,Scarborough JFC / Claremont,,unknown,B,142,20
2017,20,Callum Coleman-Jones,Unley / Scotch College (SA) / Sturt,Scotch College (SA),GPS_SA,C+,36,20
2017,21,Oscar Allen,Whitford JFC / West Perth,,unknown,B+,112,163
2017,22,Lachlan Fogarty,Spotswood / St Kevin's College / Western U18,St Kevin's College,APS,C+,92,36
2017,23,Will Walker,Hampton Rovers / Sandringham U18,,unknown,D,6,4
2017,24,Tim Kelly,Palmyra JFC / South Fremantle,,unknown,A,177,85
2017,25,Noah Balta,Doutta Stars / St Bernard's College / Calder U18,St Bernard's College,other_private,B,129,47
2017,26,Liam Ryan,Subiaco,,unknown,A,134,180
2017,27,Brent Daniels,Nyah-Nyah West United / Bendigo U18 / Geelong (VFL),,unknown,B+,120,82
2017,28,Sam Taylor,Guildford Grammar / Swan Districts,Guildford Grammar,GPS_WA,A,133,2
2017,29,Charlie Spargo,Scots (Albury) / Albury FC / Murray U18 / Western Sydney University,,unknown,C+,117,69
2017,30,Tom De Koning,Mount Martha / Dandenong U18,,unknown,B+,114,46
2017,31,Bayley Fritsch,Coldstream / Casey,,unknown,A,184,305
2017,32,Brayden Ainsworth,Esperance Ports / Subiaco,,unknown,C,15,4
2017,33,Tom McCartin,St Joseph's / Geelong U18,,unknown,B,163,31
2017,34,Patrick Naish,Ivanhoe JFC / Ivanhoe Grammar / Northern U18,Ivanhoe Grammar,other_private,C,20,4
2017,35,Oscar Clavarino,Berwick / Haileybury College / Dandenong U18,Haileybury College,APS,D,5,0
2017,36,Charlie Constable,East Sandringham / Haileybury College / Sandringham U18,Haileybury College,APS,C,16,6
2017,37,Harrison Petty,Rostrevor College / Norwood,Rostrevor College,GPS_SA,C+,114,56
2017,38,Jack Petruccelle,Epping / Northern U18,,unknown,C+,90,71
2017,39,Nathan Murphy,East Sandringham / Brighton Grammar / Sandringham U18,Brighton Grammar,APS,C+,57,1
2017,40,Andrew McPherson,Port District / Woodville-West Torrens,,unknown,C,28,0
2017,41,Toby Wooller,Camberwell / Old Scotch / Oakleigh U18,,unknown,D,0,0
2017,42,Charlie Ballard,Sacred Heart College / Sturt,Sacred Heart College,other_private,B,139,3
2017,43,Connor Ballenden,Western Magpies / Uni of Queensland / Brisbane (NEAFL),,unknown,D,3,1
2017,44,Hugh Dixon,Kingborough / Tasmania U18,,unknown,D,11,5
2017,45,James Worpel,Bell Park / Geelong U18,,unknown,B+,154,52
2017,46,Ben Paton,Mitta United / Catholic College Wodonga / Murray U18 / Collingwood (VFL) / North Albury,Catholic College Wodonga,unknown,C+,75,4
2017,47,Sam Hayes,Ferntree Gully / Eastern U18,,unknown,C,11,0
